bike_variant_id,brand_name,family_name,model_name,model_year,variant_name,colorway,msrp_value,currency,official_url,lifecycle_status,description
1,brompton,A,A Line,,A Line,,995.0,GBP,https://global.brompton.com/a-line,,"Brompton A Line. The essential Brompton. The ride, the compact fold, the easy-to-store. Shop now. Free Delivery."
2,brompton,Electric,Electric,,Brompton Electric,,,,https://global.brompton.com/electric-bikes,,"With a range of 45 miles, shop the range of Brompton Electric Folding Bikes. Arrive in effortless style with a folding e-bike."
3,brompton,Support,Support | Electric Bikes,,Brompton Support | Electric Bikes,,,,https://global.brompton.com/support/electric-bikes,,Discover our electric bikes and get expert support for your urban adventures. Browse our support page now.
4,brompton,C,C Line,,C Line,,,,https://global.brompton.com/c-line,,"Discover the Brompton C Line, your perfect city companion. A foldable bike designed for convenience, reliability, and everyday commuting."
5,brompton,Electric,Electric App terms & conditions,,Electric App terms & conditions,,100.0,GBP,https://global.brompton.com/legal/electric-app-terms,,"Folding Bikes, Fold Up City Bicycles, Mens & Ladies Folding Road Bikes | Brompton Bikes"
6,brompton,Electric,Electric C Line,,Electric C Line,,,,https://global.brompton.com/electric-c-line,,"Foldable electric bike from Brompton - the C Line electric. Compact, light and powerful you'll arrive in style on a C Line folding e-bike. Shop Now."
7,brompton,Electric,Electric P Line,,Electric P Line,,,,https://global.brompton.com/electric-p-line,,Brompton Electric P Line folding bike - next level freedom with our lightweight folding e-bike. Lighter. Faster. Even more portable. Shop Now.
8,brompton,G,G Line,,G Line,,,,https://global.brompton.com/g-line,,"G Line is the first ever Brompton with the ride feel of a full-size bike. Brand-new geometry, 20"" wheels, game-changing comfort and capability. Find a store."
9,brompton,P,P Line,,P Line,,,,https://global.brompton.com/p-line,,"Lightweight folding bike - Introducing the P Line. High performance, lightweight design. A mix of performance & portability, meticulously engineered for city roads. Shop Now."
10,brompton,T,T Line,,T Line,,,,https://global.brompton.com/t-line,,"Brompton T Line is the ultimate solution for a super lightweight, ultra-compact & highly efficient fold-up bike. Ride the lightest bike out there. Shop Now."
11,canyon,Endurace,Endurace AllRoad,,Endurace AllRoad,,1499.0,USD,https://www.canyon.com/en-us/road-bikes/endurance-bikes/endurace/allroad/endurace-allroad/4164.html?dwvar_4164_pv_rahmenfarbe=R138_P01,,"Relaxed geometry, a sleek yet durable alumnium frame, and the control of hydraulic disc brakes. This comfortable, fast aluminium endurance bike is ready for all your rides."
12,canyon,Endurace,Endurace CF 5,,Endurace CF 5,,2299.0,USD,https://www.canyon.com/en-us/road-bikes/endurance-bikes/endurace/cf/endurace-cf-5/4551.html?dwvar_4551_pv_rahmenfarbe=R129_P01,,Versatile carbon all-road endurance bike. 38 mm tyre clearance. VCLS Technology: comfort meets speed. Shimano CUES mechanical groupset. DT Swiss Endurance LN aluminium wheels.
13,canyon,Endurace,Endurace CF 7 Di2,,Endurace CF 7 Di2,,3799.0,USD,https://www.canyon.com/en-us/road-bikes/endurance-bikes/endurace/cf/endurace-cf-7-di2/4421.html?dwvar_4421_pv_rahmenfarbe=R129_P01,,Versatile carbon all-road endurance bike. 38 mm tyre clearance. VCLS Technology: iconic comfort seatpost. Shimano 105 Di2 electronic groupset. DT Swiss Endurance LN aluminum wheels.
14,dahon,Briza,Briza D8,,Briza D8,,30000.0,EUR,https://de.dahon.com/products/briza-d8,,"Full-size ride, compact fold - The ultimate low-step city folding bike."
15,dahon,Curl,Curl Ei4,,Curl Ei4,,30000.0,EUR,https://de.dahon.com/collections/all-products/products/curl-ei4,,"A compact, electric trifold built for effortless city rides."
